Revisit,Number_of_attacks,Committed_defenders,Play,Flow,Successful,Shot_type,Points,Time,Opponent,Half
,1,0,Set,Halfcourt,No,Contested layup,0,3:07,Stony Brook,2
,0,0,OB,OB,,Semi-contested 3,0,3:03,Stony Brook,2
,0,0,Set,Halfcourt,Yes,Semi-contested 3,3,2:38,Stony Brook,2
,0,0,Base,Halfcourt,Yes,Semi-contested 3,3,1:49,Stony Brook,2
,1,1,Transition,Transition,Yes,Open layup,2,:53,Stony Brook,2

,0,1,Set,Halfcourt,Yes,Semi-contested 3,3,19:10,Hartford,1
,1,0,Transition,Transition,Yes,Semi-contested layup,0,18:43,Hartford,1
*,1,1,Set,Halfcourt,Yes,Open 3,0,18:04,Hartford,1
,2,0,OB,OB,Yes,foul,0,17:58,Hartford,1
,1,0,Set,Halfcourt,Yes,Semi-contested 3,0,17:28,Hartford,1
,1,1,Set,Halfcourt,Yes,Semi-contested 3,0,17:06,Hartford,1
,1,0,Set,Halfcourt,Yes,Foul,1,16:37,Hartford,1
,1,1,Set,Halfcourt,No,Semi-contested 3,3,15:48,Hartford,1
,1,1,Transition,Transition,Yes,Open layup,2,15:10,Hartford,1
,1,0,Transition,Transition,Yes,Semi-contested layup,0,14:35,Hartford,1
,1,0,OB,OB,Yes,Contested 2,0,14:30,Hartford,1
,0,0,OB,OB,No,Contested 3,0,13:35,Hartford,1
,2,0,Set,Halfcourt,No,Turnover,0,13:04,Hartford,1
,0,0,Set,Halfcourt,No,Turnover,0,12:12,Hartford,1
*,1,0,Base,Halfcourt,No,Semi-contested 2,0,11:50,Hartford,1
,1,0,Base,Halfcourt,No,Contested layup,0,10:55,Hartford,1
,0,0,OB,OB,No,Contested 3,0,10:50,Hartford,1
,0,0,Zone,Halfcourt/zone,No,Turnover,0,10:16,Hartford,1
,1,1,Zone,Halfcourt/zone,Yes,Semi-contested 3,3,8:52,Hartford,1
,0,0,Base,Halfcourt,No,Contested 2,2,8:06,Hartford,1
,0,0,Base,Halfcourt,No,Contested 2,2,7:31,Hartford,1
,1,0,Set,Halfcourt,Yes,Semi-contested layup,2,6:42,Hartford,1
,1,1,Transition,Transition,Yes,Open 3,3,6:07,Hartford,1
,0,0,Set,Halfcourt,No,Contested 2,0,5:25,Hartford,1
,1,0,Set,Halfcourt,No,Turnover,0,4:45,Hartford,1
,0,0,Transition,Transition,No,Contested 3,0,4:26,Hartford,1
,2,2,Set,Halfcourt,Yes,Open layup,2,3:44,Hartford,1
,1,0,Set,Halfcourt,Yes,Foul,0,3:14,Hartford,1
,1,1,Set,Halfcourt,Yes,Semi-contested 3,0,2:40,Hartford,1
,1,1,Putback,Putback,Yes,Semi-contested layup,2,2:31,Hartford,1
,0,0,Set,Halfcourt,No,Contested 3,3,1:37,Hartford,1
,1,0,Base,Halfcourt,No,Contested 3,0,:56,Hartford,1
,1,1,Set,Halfcourt,Yes,Open 3,0,:14,Hartford,1

,1,0,Set,Halfcourt,No,Semi-contested layup,0,19:30,Hartford,2
,1,0,Putback,Putback,No,Semi-contested layup,0,19:30,Hartford,2
,1,0,Putback,Putback,Yes,Semi-contested layup,2,19:30,Hartford,2
,0,0,Set,Halfcourt,Yes,Contested 2,0,18:47,Hartford,2
,0,1,Set,Halfcourt,Yes,Semi-contested 3,0,18:26,Hartford,2
,1,0,Putback,Putback,Yes,foul,2,18:22,Hartford,2
,1,1,Zone,Halfcourt/zone,Yes,Semi-contested layup,2,17:28,Hartford,2
,0,1,Zone,Halfcourt/zone,Yes,Open 3,3,16:37,Hartford,2
,1,0,Base,Halfcourt,yes,Semi-contested layup,0,15:53,Hartford,2
,0,1,Base,Halfcourt,Yes,Semi-contested 3,3,15:48,Hartford,2
,1,2,Set,Halfcourt,Yes,Open 3,3,14:58,Hartford,2
,1,0,Transition,Transition,Yes,Open layup,2,14:24,Hartford,2
,2,1,Set,Halfcourt,Yes,Turnover,0,13:43,Hartford,2
,1,0,Set,Halfcourt,Yes,Semi-contested layup,0,13:08,Hartford,2
